query,key,count
설현,naver_comment2,"[('설현', 4), ('나라', 3), ('멤놀', 3), ('기업', 2), ('사진', 2), ('한글', 2), ('공부', 2), ('역사', 2), ('이상형', 1), ('운운', 1)]"
설현,naver_comment3,"[('역사', 22), ('홍보', 15), ('안중근', 14), ('대사', 13), ('의사', 12), ('문제', 11), ('나라', 10), ('생각', 9), ('설현', 9), ('일본', 9)]"
설현,naver_content1,"[('투표', 394), ('설현', 209), ('선거', 140), ('사전', 124), ('총선', 106), ('뉴스', 83), ('투표소', 72), ('디자인', 63), ('홍보', 61), ('사진', 57)]"
설현,naver_content2,"[('여성', 112), ('정치', 53), ('선거', 44), ('혐오', 40), ('설현', 32), ('광고', 31), ('정당', 29), ('송중기', 28), ('친구', 28), ('시민', 28)]"
설현,naver_content3,"[('설현', 128), ('지민', 68), ('역사', 64), ('여성', 61), ('안중근', 58), ('사진', 56), ('광고', 51), ('논란', 48), ('의사', 44), ('뉴스', 43)]"
설현,youtube_transcipt1,"[('음악', 35), ('박수', 23), ('다음', 17), ('메이크업', 14), ('재민', 9), ('음영', 9), ('섀도우', 8), ('주스', 7), ('생각', 6), ('시간', 6)]"
설현,youtube_transcipt2,"[('음악', 22), ('역사', 18), ('문제', 18), ('얘기', 18), ('아이돌', 16), ('생각', 15), ('부분', 15), ('얼굴', 13), ('학교', 11), ('배우', 11)]"
설현,youtube_transcipt3,"[('음악', 12), ('느낌', 4), ('박수', 4), ('자연', 3), ('걸그룹', 3), ('생각', 3), ('감사', 3), ('지민', 3), ('안중근', 3), ('눈빛', 2)]"
설현,youtube_comment1,"[('설현', 81), ('댓글', 47), ('유라', 34), ('몸매', 27), ('성희롱', 21), ('여자', 19), ('생각', 12), ('메이크업', 12), ('혜리', 11), ('남자', 11)]"
설현,youtube_comment2,"[('안중근', 34), ('의사', 28), ('설현', 17), ('역사', 15), ('기본', 13), ('긴또깡', 11), ('지민', 11), ('나라', 11), ('상식', 9), ('한국', 9)]"
설현,youtube_comment3,"[('설현', 15), ('역사', 11), ('연예인', 5), ('비난', 5), ('표현', 4), ('바디감', 3), ('정도', 3), ('바디', 3), ('얼굴', 3), ('홍보', 3)]"
양팡,naver_comment1,[]
양팡,naver_comment2,"[('광고', 26), ('유튜브', 6), ('걱정', 6), ('유투버', 5), ('영상', 5), ('유튜버', 5), ('논란', 5), ('사기', 4), ('유료', 4), ('표시', 4)]"
양팡,naver_comment3,"[('광고', 23), ('사과', 18), ('구독자', 14), ('은퇴', 13), ('사기', 9), ('유튜버', 9), ('영상', 6), ('논란', 5), ('문제', 5), ('유튜브', 5)]"
양팡,naver_content1,"[('조리', 4), ('앨범', 4), ('전달', 4), ('미국', 3), ('회장', 3), ('재단', 3), ('독립', 3), ('영화', 3), ('극장', 3), ('기부', 3)]"
양팡,naver_content2,"[('광고', 401), ('영상', 202), ('유튜버', 178), ('유튜브', 138), ('유료', 83), ('방송', 81), ('논란', 75), ('사과', 74), ('채널', 67), ('표기', 62)]"
양팡,naver_content3,"[('광고', 511), ('유튜버', 177), ('영상', 177), ('유튜브', 128), ('표시', 91), ('플루', 71), ('양팡', 68), ('사과', 65), ('논란', 64), ('사실', 63)]"
양팡,youtube_transcipt1,"[('음악', 78), ('병아리', 48), ('다음', 41), ('언니', 25), ('엄마', 24), ('라디오', 21), ('아빠', 21), ('생각', 15), ('정도', 12), ('암탉', 11)]"
양팡,youtube_transcipt2,"[('얘기', 131), ('방송', 109), ('유신', 81), ('영상', 78), ('소송', 78), ('본인', 65), ('생각', 65), ('고인', 57), ('공개', 53), ('다음', 50)]"
양팡,youtube_transcipt3,"[('얘기', 243), ('유신', 144), ('방송', 130), ('생각', 93), ('소송', 89), ('음악', 87), ('본인', 73), ('시간', 69), ('다음', 69), ('영상', 60)]"
