query,url,comment
아이린,https://n.news.naver.com/mnews/article/021/0002447280?sid=103, 경악스러움..사람은 고쳐쓰는게 아닌데..
아이린,https://n.news.naver.com/mnews/article/081/0003126933?sid=103,
아이린,https://n.news.naver.com/mnews/article/081/0003137008?sid=103,
아이린,https://n.news.naver.com/mnews/article/081/0003139659?sid=104,오타가 너무 많아. 확인 좀 하고 올리세요. 어미니 / 구장 이런 건 자동으로 걸러질 텐데. 
아이린,https://n.news.naver.com/mnews/article/081/0003139659?sid=104, 
아이린,https://n.news.naver.com/mnews/article/022/0003511634?sid=102,
아이린,https://n.news.naver.com/mnews/article/023/0003565507?sid=004,
아이린,https://n.news.naver.com/mnews/article/023/0003565767?sid=102,설겆이? 
아이린,https://n.news.naver.com/mnews/article/023/0003565767?sid=102, 바른말 표기 안합니까? 설거지가 바른말입니다..기사가 맞춤법부터 오류라니... 
아이린,https://n.news.naver.com/mnews/article/023/0003565767?sid=102,  설거지! 
아이린,https://n.news.naver.com/mnews/article/023/0003565767?sid=102, 
아이린,https://n.news.naver.com/mnews/article/023/0003570840?sid=103,  중요한건 안밝혀졌으면 계속이었을것아니냐..나이도 많구만 헛먹었네ㅉ 
아이린,https://n.news.naver.com/mnews/article/023/0003570840?sid=103, 영화 개봉하는데 발등에 불떨어졌지...어린 것이 삿대질에 뭔 욕을 했기에 녹취록 공개해서 심판 받자! 
아이린,https://n.news.naver.com/mnews/article/023/0003570840?sid=103, 또그럴꺼다 본성은못버린다 !?
아이린,https://n.news.naver.com/mnews/article/023/0003570802?sid=004,
아이린,https://n.news.naver.com/mnews/article/025/0003040060?sid=103,평소 걷는 것을 좋아하는 편인데 항상 산티에고 순례길을 걷는 여행자들을 보며 동경의 마음을 키워왔던 것 같아요 걸으면서 생각을 정리하고 이치를 깨달을 수 있는 좋은 경험이 담긴 글 잘 읽었습니다 
아이린,https://n.news.naver.com/mnews/article/025/0003040060?sid=103," 이런 기사를 읽을 때면 꼭 그곳을 방문하고 싶어지네요. 다른 사람을 의식할 필요가 없다, 결과를 걱정하지 말고 하고싶은 일을 해야겠다고 생각한 것은 정말 저에게도 필요한 생각이네요. "
아이린,https://n.news.naver.com/mnews/article/025/0003040060?sid=103, 일단 우리나라 먼저 다 걸어보고.. 
아이린,https://n.news.naver.com/mnews/article/025/0003040060?sid=103, 아이고의미없다 살아있을때나 잘하자 
아이린,https://n.news.naver.com/mnews/article/025/0003040060?sid=103, 
아이린,https://n.news.naver.com/mnews/article/025/0003040148?sid=101,내평생 첨으로 내돈주고 레모나 사먹고 있습니다. 매일 미니방탄 볼수 있어서 좋아요. 레모나도 방탄 모델이후 성장률 반등했다니 반갑네요. 올해까지라니 몇통 더 사놔야겠어요 
아이린,https://n.news.naver.com/mnews/article/025/0003040148?sid=101, 유재석때문에 비타500먹다가 bts레모나 보고 레모나로 바꿈 ㅎㅎㅎ 
아이린,https://n.news.naver.com/mnews/article/025/0003040148?sid=101, 사이다를 너무 많이 먹어서 피를 뽑으면 사이다가 나올수도 
아이린,https://n.news.naver.com/mnews/article/025/0003040148?sid=101, 제주위 여사친 여동생 어머니가 bts팬입니다! 건강하고 건실해서 좋다고하네요! 비타민처럼 활기를 주는 bts칭찬합니다! 화이팅입니다! 
아이린,https://n.news.naver.com/mnews/article/025/0003040148?sid=101, BTS효과죠.사이다 한모금도 안하는데 칠성사이다 박스로 구매함.BTS땜시..브로마이드 준다고해서..BTS는 존재가 위로와 감동
아이린,https://n.news.naver.com/mnews/article/025/0003041334?sid=102,
아이린,https://n.news.naver.com/mnews/article/025/0003043278?sid=102,
아이린,https://n.news.naver.com/mnews/article/025/0003046301?sid=103,그냥 은퇴해 
아이린,https://n.news.naver.com/mnews/article/025/0003046301?sid=103, 녹취록 없었으면 sm에서 덮고 매장시켜버렸을듯. 이제라도 까발려져서 다행이네요. 다른 인성쓰레기 연예인들도 다 밝혀져야할텐데 
아이린,https://n.news.naver.com/mnews/article/025/0003046301?sid=103, 어차피 지민 설현 아이린 효린 전부 다 돈 벌만큼 벌어서 연예계 짤리고도 돈많은남자 하나 물어서 평생 편하게 살듯 
아이린,https://n.news.naver.com/mnews/article/025/0003046301?sid=103, 지금 시대가 어느 때인데 갑질? 더 이상 인성 덜 된 무개념 들 그만 보고싶다! 
아이린,https://n.news.naver.com/mnews/article/025/0003046301?sid=103, 30년 인성~ 사과자체도 진정성없고 사람은 절대 안변하지 여지껏 잘 커버해줬네 이제 그만나와라
아이린,https://n.news.naver.com/mnews/article/028/0002517291?sid=102,
아이린,https://n.news.naver.com/mnews/article/469/0000547035?sid=102,사람은 쉽게 안변한다는데..지금도 애꿎은 멤버들한테 온갖짜증 화풀이 다내고 있는건 아닌지..심히 걱정된다.. 
아이린,https://n.news.naver.com/mnews/article/469/0000547035?sid=102,  갑질은문제지 상주처에서 갑질당하면 기분좃같음 
아이린,https://n.news.naver.com/mnews/article/469/0000547035?sid=102,  
조현아,https://n.news.naver.com/mnews/article/032/0002551244?sid=101,네이버 실검하고 나니까 정신 좀 드나? 지가 한 잘못을 왜 기장한테 떠넘기냐? 
조현아,https://n.news.naver.com/mnews/article/032/0002551244?sid=101, 부사무장자리에서 내려오시고 좀더 인성을갖춘사람을 그 자리에 앉히세요.직원을 개떡으로 아는 부사장이 손님인들 개떡으로 안여길까? 
조현아,https://n.news.naver.com/mnews/article/032/0002551244?sid=101, 별거아닌일에 OOO이 지에비 부심부리면서 ㅂㄷㅂㄷ한탓에 몇명이나 피해보냐 
조현아,https://n.news.naver.com/mnews/article/032/0002551244?sid=101, 다 모가지 짤라라 
조현아,https://n.news.naver.com/mnews/article/032/0002551244?sid=101, 금수저 물고 나온 인간들은 지들이 최고고 지들말이 법인줄아니까 뭘 잘못했나도 모를것이다. 돈만 많고 생각은 없는 함량미달 인간들...
조현아,https://n.news.naver.com/mnews/article/032/0002551354?sid=101,하루 종일 해당 승무원과 사무장의 마음이 어땠을까 생각하니 마음이 너무 아프네요..그래도 한 회사를 위해서 십년 넘게 일한 사무장일텐데..아무리 큰 잘못을 했다고해도 대한항공은 이런식으로 밖에 얘기 할 수 없는건지...그 오너에 그 회사이네요. 
조현아,https://n.news.naver.com/mnews/article/032/0002551354?sid=101, 네 지적은 당연하지만 굳이 리턴해가면서까지 250여명의 승객들의 시간을 뺏어가면서까지 하차시켜야했냐.하는게 이번사건의 쟁점이죠. 자질부족 자기분에못이겨 내려라 소리친거지 지적과 교육은 돌아와서 했어도 충분했을건데? 
조현아,https://n.news.naver.com/mnews/article/032/0002551354?sid=101, 사무장이 서비스를 메뉴얼대로 하지 않았다는 사실은 명백한거고 더군다나 메뉴얼의 비밀번호를 몰랐다는건 더더욱 잘못한거죠. 그리고 조현아 부사장은 임원으로써 질문은 할 수 있는거고 그에 대답을 못하고 항공기 여객부분 최대수입원이 1등석에서 그런 서비스를 한다는거에 질책할 수 있죠! 하지만! 질책과 징계는 한국와서 해야죠. 다른 승객들까지 불편함을 주고 항공법에 위배될 정도로 해를 가하는건 아니라고 봅니다. 
조현아,https://n.news.naver.com/mnews/article/032/0002551354?sid=101, 결국엔 지잘못 모른다는 얘기 
조현아,https://n.news.naver.com/mnews/article/032/0002551354?sid=101, 서비스와 안전. 굳이 양분해보자면 안전이 우선 아닌가요? 자기 기분나쁘다고 비상시 승객들 안전을 책임질 사무장을 하차히킨 이가 어디서 감히 사과문에 서비스와 안전을 교묘히 엮으면서 안전 드립을 치나요? 이정도면 조부사장 개인의 문제가 아니라 회사의 자질이 문제입니다.
조현아,https://n.news.naver.com/mnews/article/032/0002551402?sid=101,화를 내도 한국에 와서 조치를취해야하는거 아닌가요?무슨 망신인가요?홍보부는 어떻게든 무마하고 싶겠죠..너무하네요.이건 분명 잘못된 오너의 마인드입니다. 
조현아,https://n.news.naver.com/mnews/article/032/0002551402?sid=101, 이부진한테좀 배워라 OOO ㅉ ㅉ ㅉ 
조현아,https://n.news.naver.com/mnews/article/032/0002551402?sid=101, 아시아나 : 개이득 
조현아,https://n.news.naver.com/mnews/article/032/0002551402?sid=101, 머라말을.....뵈는게 없나바 
조현아,https://n.news.naver.com/mnews/article/032/0002551402?sid=101," 누가봐도 승무원은 메뉴엘대로햇다. 왜냐 객실서비스부분을 책임 담당하는 부사장인데 막햇을리가 잇나. 괜한특집잡고, 자신감정대로 한게 분명함. 대한항공 홍보팀들아 요즘이 어떤세상인데 이제 말돌리지말고 사실그대로 전해라 그러다 나중에 밝혀지면 니들 더 욕먹는다잉"
조현아,https://n.news.naver.com/mnews/article/032/0002551028?sid=101,"조현아 깐깐하기로 소문났는데.. 그래도 사무장이라고 조현아 서비스 맡았을것 건데. 피봤내요.그래도 승객들 다 있는데,, 택싱중인 항공기를 돌린것과 지연시킨 것은 또하나의 승객에 대한 서비스 부실 아닐까요.. 회사일을 본사 가서 처리하시지... "
조현아,https://n.news.naver.com/mnews/article/032/0002551028?sid=101, 최고의 스펙은 탯줄ㅋ 
조현아,https://n.news.naver.com/mnews/article/032/0002551028?sid=101, 기내메뉴얼은 철저한분이 이런걸로 항공법 무시하고....비행기를 자차 기사부리듯.......다른 승객들의 빼앗긴 시간은? 와 이건 월권이죠 
조현아,https://n.news.naver.com/mnews/article/032/0002551028?sid=101, 드라마보고 따라하고싶엇냐 아님 한국에너의입지를알리고싶엇냐... 
조현아,https://n.news.naver.com/mnews/article/032/0002551028?sid=101, 대한항공 왜그런지몰라도 넘 비싸
조현아,https://n.news.naver.com/mnews/article/032/0002551375?sid=101,대한땅콩은..이제 안탄다. 아시아나 탈거야... 근데 사진보니 저녁먹은게 소화가 안되네 
조현아,https://n.news.naver.com/mnews/article/032/0002551375?sid=101, 250명 탑승객의 시간과 안전이 땅콩만도 못하네 
조현아,https://n.news.naver.com/mnews/article/032/0002551375?sid=101, 저런 분께서 벌금 500만원에 까딱할까? 
조현아,https://n.news.naver.com/mnews/article/032/0002551375?sid=101, 전국민 상대로 우롱 하시다니 권력이 좋킨 하나보네 또 조용히 넘어가겠지만 ㅉㅉㅉ 
조현아,https://n.news.naver.com/mnews/article/032/0002551375?sid=101, 진짜 대단하다 대단해~기장이 내리라고했다고 덮어씌우고 자기는 끝까지 잘했단다~진짜 대단하다~
조현아,https://n.news.naver.com/mnews/article/032/0002551045?sid=101,조금 시원한 기사네요법위반이길 간절히 바랍니다 
조현아,https://n.news.naver.com/mnews/article/032/0002551045?sid=101, 대한민국의 슬픈 자화상 
조현아,https://n.news.naver.com/mnews/article/032/0002551045?sid=101, 나라꼴 참 가관이다. 지도층이란게 마인드는 젤 바닥이네 
조현아,https://n.news.naver.com/mnews/article/032/0002551045?sid=101, JFK-인천 취항권 45일 정지로 마무리 하시죠 
조현아,https://n.news.naver.com/mnews/article/032/0002551045?sid=101, 해외 토픽감이다! 쪽팔리게
조현아,https://n.news.naver.com/mnews/article/032/0002551059?sid=101,난 더 못배웠지만 저 행동은 생각이 짧았던 행동이다. 
조현아,https://n.news.naver.com/mnews/article/032/0002551059?sid=101, 아버지인 조양호 회장님은 참 선해보이던데.. 사업은 성공하신듯하나 자식 농사는 망쳤네요 
조현아,https://n.news.naver.com/mnews/article/032/0002551059?sid=101, 고릴라인주제에ㅁㅊㅇ 
조현아,https://n.news.naver.com/mnews/article/032/0002551059?sid=101, 높응 사람의 아량과 관대함 좀 보이지.... 쯧쯧 
조현아,https://n.news.naver.com/mnews/article/032/0002551059?sid=101," 돈 많은 아버지 덕에 공부하고, 좋은 자리에 앉았으면.....늘 겸손하게 살아야지..! 견과류 봉지채 가져온게 잘못된 서리스라 치자! 그게 이륙준비 하는 비행기를 돌릴만큼의 일이냐...성질머리하고는! 나중에 서비스 교육 다시 재정비 시키고 본사교육 시키면 될 것이지! 겸손하게 살아라...좋은 학력에 우수인재 가득해도 부자 아버지 못만나면 41살에 부사장 자리에 못 앉는다. 죽어라 영업뛰고 산다!"
조현아,https://n.news.naver.com/mnews/article/032/0002551282?sid=101,국가적인 망신도 이런 망신이 없다. 하긴 ceo의 딸이라는 이유로 능력도 없는 40살 여자가 부사장인것부터 망신이지뭐 
조현아,https://n.news.naver.com/mnews/article/032/0002551282?sid=101, 국제적 망신!기본적인 매너도 없고 이래서야 겁나서 비행기 타겠나?돈 많으니 전용기 타고 다니길! 
조현아,https://n.news.naver.com/mnews/article/032/0002551282?sid=101, 땅콩 몇알로 온세상을 떠들썩하게 ㅋㅋ역시 재벌2세는 다르네. 3세던가?? 
조현아,https://n.news.naver.com/mnews/article/032/0002551282?sid=101, 승객 250명이 대한항공을 상대로 소송걸어도 될듯 ㅋㅋㅋㅋ 
조현아,https://n.news.naver.com/mnews/article/032/0002551282?sid=101, 대한항공 힐링 광고를 하면 뭐하나 ㅋ ㅋ ㅋ ㅋ 뇌가 청순한 부사장 ㅋ ㅋ
조현아,https://n.news.naver.com/mnews/article/032/0002551210?sid=101,승무원이 잘못을 했다 치더라도 귀국해서 회사차원에서 처리하셔야지 비행기가 개인소유 제트기도 아니고 땅콩한봉지에 그지랄을 떨면 겁나서 서비스 하겠냐?안전상 문제도 아니고 기가찬다 아시아나 대박나라 !!! 
조현아,https://n.news.naver.com/mnews/article/032/0002551210?sid=101," 과자 하나 잘못 내왔다고 기장과 협의해서 비행기 돌릴 수 있다면, 대한항공 매 비행기마다 각 10번씩 돌려야지. 이 말 반박하지 못하면 징계하고 퇴사처분 해라. "
조현아,https://n.news.naver.com/mnews/article/032/0002551210?sid=101," 해명은 무슨, 인정하고 사과해라. 이미 이미지 많이 깎아 먺었다. "
조현아,https://n.news.naver.com/mnews/article/032/0002551210?sid=101, 기장탓을 하고있어ㅡㅡ 비겁해 
조현아,https://n.news.naver.com/mnews/article/032/0002551210?sid=101, 결국 힘없는 기장에게 책임지우는구나~ 재벌 상속녀는 죄없는거지. 소리지르고 난리쳐도.. 기내 행패는 수갑채워야하는데. A님 견과류라면 평생 트라우마 생기겠군
조현아,https://n.news.naver.com/mnews/article/032/0002551233?sid=102,일반인 벌금아님구속 조현아 무혐의 
조현아,https://n.news.naver.com/mnews/article/032/0002551233?sid=102, 쯧쯧. . 생긴데로 . . 
조현아,https://n.news.naver.com/mnews/article/032/0002551233?sid=102, 돈도많으신데 벌금내시면되겠네 기본메뉴얼가르침의 훈계를 다른방법으로 하셨더라면 욕도안먹었을텐데 너무 형편엇이 일한모습에빡쳐서 감정적으로그러신듯한데. 회사이미지만 안좋아졌음
조현아,https://n.news.naver.com/mnews/article/032/0002551759?sid=101,그러나 대한항공 부사장이라는 임원신분과 한진관광 대표 등 3개 계열사 보직과 대한항공 등기이사 등은 계속 유지할 것으로 알려졌다.잉??????????????????? 끝까지국민을바보로아네.. 
조현아,https://n.news.naver.com/mnews/article/032/0002551759?sid=101, 에이..어차피 슬그머니 돌아올거면서..아니면 해운이나 본사 가있던지... 주식도 가질만큼 있으실테고... 
조현아,https://n.news.naver.com/mnews/article/032/0002551759?sid=101, 다 내려 놔라 국민의 분노가 들 끓는다 
조현아,https://n.news.naver.com/mnews/article/032/0002551759?sid=101, 장난이 심하네요 대박이구나 
조현아,https://n.news.naver.com/mnews/article/032/0002551759?sid=101," 대한항공 조현아 부사장 보직 사퇴,그러나 대한항공 부사장이라는 임원신분과 한진관광 대표 등 3개 계열사 보직과 대한항공 등기이사 등은 계속 유지... 국민을 바보로 아나... 도대체 뭘사퇴한다는거야?"
조현아,https://n.news.naver.com/mnews/article/032/0002551577?sid=101,
조현아,https://n.news.naver.com/mnews/article/032/0002551507?sid=101,저 승무원 어떻게 처리됐는지 공개바람 
조현아,https://n.news.naver.com/mnews/article/032/0002551507?sid=101, 문제는 누가 일으켜놓고 뒷처리는 밑에사람 입단속으로 가고있네.. 역시 갑질이구먼!!! 
조현아,https://n.news.naver.com/mnews/article/032/0002551507?sid=101, 땅콩때문에 리턴하다니 민폐끼치는 정신나간 여자네 지도자로서 자질도 없고 인격과 윤리의식 좀 다시 배우고 와라 
조현아,https://n.news.naver.com/mnews/article/032/0002551507?sid=101, 항공기내 소란을 피웠으니 내려야할건 조현아 본인이었구만~ 누굴 내리래~ 
조현아,https://n.news.naver.com/mnews/article/032/0002551507?sid=101, 고성없이 조용히 끝낼일로 게이트로 다시 돌아와야 했을까요? 부사장 이란 사람의 행동치고 너무 경솔했군요 .회사의 이미지에 큰 피해를 주었는데 회사내적으로 중징계를 해야하죠. 아니면 스스로 자질 없는 걸 인정하고 물러나시던가
조현아,https://n.news.naver.com/mnews/article/032/0002551567?sid=102,굿잡~ 저 게임 재밌겠네 나도 해바야지~~~~
조현아,https://n.news.naver.com/mnews/article/032/0002551760?sid=101,엑설런트 인 땅콩 코리안에어 
조현아,https://n.news.naver.com/mnews/article/032/0002551760?sid=101, 보직을 그만둔다고 해도 등기임원 자리는 그대로 유지된다고 하던데....눈 가리고 아웅아닌가요? 
조현아,https://n.news.naver.com/mnews/article/032/0002551760?sid=101, 씩씩대며 불만석인 얼굴로 반성도 안하고 있겠지 눈에 선하다. 
조현아,https://n.news.naver.com/mnews/article/032/0002551760?sid=101, 고객 국민 말고 직원한텐 미안한거 없나요? 
조현아,https://n.news.naver.com/mnews/article/032/0002551760?sid=101, 참으로 문제가 많은 족속들이구만...1. 본의 아니게 -- 그럼 타의라는 의미?2. 고객 및 국민 여러분께 --이참에 염병할 회사에 다닌다고 욕 먹는 직원들은 어쩌고?3. 저로 인해 상처받은 분이 있다면 -- '있다면'? '상처 받은 분들께'라고 해야지...OOO4. ~모든 보직에서 물러난다 -- 역설적으로 자리에 연연하지만 나가면 그만 아니냐... 이런겨?5. 저의 황망한 행동으로 인한 민형사상의 모든 책임을 지겠다.. 라고 해야하지 않을까?암튼 대한항공 사명부터 바꿔야 해.... 나라 이름을 쓸 자격이 없어..
조현아,https://n.news.naver.com/mnews/article/032/0002551622?sid=103,"대한항공 말고, 한진항공으로 이름 변경하면 좋겠어요. 이런 나라 이름 걸 자격이 없는 듯 , 대한항공 사과문을 보니 그 기업 문화가 어떤지 알쪼임 "
조현아,https://n.news.naver.com/mnews/article/032/0002551622?sid=103, 가슴이 아프네요 항공을 모르는 항공회사 부사장ㅋ정작 본인은 또 억울하다며 부을 못이기고 식식데고 있겠지요사과는 커녕 ㅋㅋ
조현아,https://n.news.naver.com/mnews/article/032/0002551510?sid=100,땅콩사랑 고릴라는 짐칸으로!규정강화! 
조현아,https://n.news.naver.com/mnews/article/032/0002551510?sid=100, 땅콩부사장들창코녀땅콩항공국가 개망신 나이도 얼마 안처먹은 땅콩들창코녀가 대단한업적을 남겼도다 
조현아,https://n.news.naver.com/mnews/article/032/0002551510?sid=100, 땅콩이 문제가 아니지. 당신은 승객들이 안중에도 없었죠?
조현아,https://n.news.naver.com/mnews/article/032/0002551606?sid=100,
조현아,https://n.news.naver.com/mnews/article/032/0002551672?sid=101,자식 이기는 부모 없다고 그 독한걸 무슨 수로 혼내주실려고요? 
조현아,https://n.news.naver.com/mnews/article/032/0002551672?sid=101, 대한항공 주식은 왜 오르냐 ㅋㅋㅋ OOO 
조현아,https://n.news.naver.com/mnews/article/032/0002551672?sid=101, 무슨 마법에걸린날인가 
조현아,https://n.news.naver.com/mnews/article/032/0002551672?sid=101, 잘못한 사람이 직접 나와서 사과하라고요!! 
조현아,https://n.news.naver.com/mnews/article/032/0002551672?sid=101, 당신 말고 당신딸이 사과해야지! 고개숙일 줄도 알아야 진정한 오너아닌가? 쟤는 싹수부터서 오너되기는텃고~ 걍 성형외과의사 남편이나 챙기며 살아라!
조현아,https://n.news.naver.com/mnews/article/032/0002551659,아.. 국제적 망신이구나... 
조현아,https://n.news.naver.com/mnews/article/032/0002551659, 근데 왜 번역을 하다마냐 
조현아,https://n.news.naver.com/mnews/article/032/0002551659, 둘이먹다하나가내리는맛ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아웃곀ㅋㅋㅋㅋㅋ 
조현아,https://n.news.naver.com/mnews/article/032/0002551659, 장래희망 승무원이었는데 승무원되고싶은마음 싹사라졌다
조현아,https://n.news.naver.com/mnews/article/032/0002552248?sid=101,돈밖에 가진게없는 OOO 천박한년 
조현아,https://n.news.naver.com/mnews/article/032/0002552248?sid=101, 에라이 뭐가 되었든 그게 리턴시키고 승무원을 두고 올만한 일이냐고? 항공사 홍보관련자들아~~ 현장을 모르는건지 아니면 맹목적인 충성인지 원.... 오죽하면 백지연님이 대한항공만 모른다고 하겠냐? 
조현아,https://n.news.naver.com/mnews/article/032/0002552248?sid=101, 야구방망이로 사람때리고 매값으로 대당 100만원준 재벌총수가 생각난다. 
조현아,https://n.news.naver.com/mnews/article/032/0002552248?sid=101, 탯줄이 정말 좋긴 하네....해당직원에 피해없길... 
조현아,https://n.news.naver.com/mnews/article/032/0002552248?sid=101, 대한항공 오너 일가가 일반 승객들과 같이 타면 승객 안전에 큰 위협이 되니 앞으로 오너 일가는 자가용 비행기만 타고 다니시고 맘대로 앞으로 갔다 뒤로 갔다 하세요. 오너 일가가 같이 탈 때는 승객들이 갑작스러운 회항에 놀라지 않도록 출발 전에 오너 일가 탔다고 기내방송도 꼭 해주시고요.
조현아,https://n.news.naver.com/mnews/article/032/0002552081?sid=101,오너일가 세무조사하고 전문경영인 체제로 가라
